ticket_number,total_ticket
151486.0,2.4
151487.0,1.2
151488.0,2.7
151489.0,2.4
151490.0,8.4
151491.0,2.4
151492.0,6.0
151493.0,1.05
151494.0,1.2
151495.0,2.4
151496.0,2.5999999999999996
151497.0,3.5999999999999996
151498.0,7.7
151499.0,1.05
151500.0,1.2
151501.0,1.2
151502.0,1.2
151503.0,2.4
151504.0,5.6
151505.0,4.7
151506.0,2.4
151507.0,2.3
151508.0,1.2
151509.0,3.5
151510.0,0.9
151511.0,1.5
151512.0,1.4
151513.0,3.3
151514.0,2.7
151515.0,1.05
151516.0,2.5999999999999996
151517.0,1.2
151518.0,1.8
151519.0,6.2
151520.0,1.8
151521.0,2.5999999999999996
151522.0,6.0
151523.0,2.4
151524.0,2.4
151525.0,5.0
151526.0,1.2
151527.0,2.4
151528.0,3.8499999999999996
151529.0,1.2
151530.0,3.2
151531.0,1.2
151532.0,3.5999999999999996
151533.0,1.2
151534.0,1.5
151535.0,2.4
151536.0,1.2
151537.0,1.2
151538.0,0.9
151539.0,3.5
151540.0,2.1
151541.0,1.05
151542.0,4.7
151543.0,1.1
151544.0,3.4
151545.0,2.0
151546.0,2.0
151547.0,5.4
151548.0,2.3
151549.0,2.1
151550.0,8.7
151551.0,4.4
151552.0,1.2
151553.0,1.05
151554.0,1.7999999999999998
151555.0,2.4
151556.0,1.2
151557.0,1.65
151558.0,7.199999999999999
151559.0,2.4
151560.0,1.2
151561.0,1.1
151562.0,2.7
151563.0,13.5
151564.0,3.5999999999999996
151565.0,2.4
151566.0,1.8
151567.0,3.5999999999999996
151568.0,2.1
